[   34318ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   87542ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[   88592ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  135384ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  135980ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  182365ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  285478ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  388593ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  437089ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  438222ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1577860ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1615112ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1716212ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1716785ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1760269ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1775406ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1835485ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1836045ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1836405ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 1836962ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
